kota,kategori,total_pendapatan
Magelang,Elektronik,51635000
Magelang,Fashion,35165000
Magelang,Kesehatan & Kecantikan,23745000
Magelang,Makanan & Minuman,54055000
Magelang,Rumah Tangga,53980000
Semarang,Elektronik,48580000
Semarang,Fashion,87055000
Semarang,Kesehatan & Kecantikan,38525000
Semarang,Makanan & Minuman,27890000
Semarang,Rumah Tangga,31880000
Yogyakarta,Elektronik,44800000
Yogyakarta,Fashion,23140000
Yogyakarta,Kesehatan & Kecantikan,44445000
Yogyakarta,Makanan & Minuman,29445000
Yogyakarta,Rumah Tangga,65525000
