id_transaksi,tanggal,kategori,unit_terjual,harga_satuan,metode_pembayaran,kota
TRX-101-0001,2026-08-20,Fashion,5,15000,Transfer Bank,Magelang
TRX-101-0002,2026-08-29,Rumah Tangga,6,150000,Kartu Kredit,Magelang
TRX-101-0003,2026-08-15,Fashion,7,50000,Kartu Kredit,Magelang
TRX-101-0004,2026-08-11,Elektronik,4,15000,Kartu Kredit,Magelang
TRX-101-0005,2026-08-08,Kesehatan & Kecantikan,7,50000,Kartu Kredit,Magelang
TRX-101-0006,2026-08-29,Kesehatan & Kecantikan,8,50000,COD,Magelang
TRX-101-0007,2026-08-21,Kesehatan & Kecantikan,1,150000,E-Wallet,Magelang
TRX-101-0008,2026-08-07,Rumah Tangga,6,50000,Transfer Bank,Magelang
TRX-101-0009,2026-08-26,Elektronik,8,50000,Kartu Kredit,Magelang
TRX-101-0010,2026-08-19,Rumah Tangga,5,150000,Kartu Kredit,Magelang
TRX-101-0011,2026-08-23,Rumah Tangga,4,50000,Kartu Kredit,Magelang
TRX-101-0012,2026-08-11,Elektronik,2,50000,COD,Magelang
TRX-101-0013,2026-08-11,Elektronik,6,50000,Kartu Kredit,Magelang
TRX-101-0014,2026-08-24,Elektronik,6,15000,Kartu Kredit,Magelang
TRX-101-0015,2026-08-21,Elektronik,1,15000,Kartu Kredit,Magelang
TRX-101-0016,2026-08-04,Kesehatan & Kecantikan,9,15000,E-Wallet,Magelang
TRX-101-0017,2026-08-08,Makanan & Minuman,6,150000,COD,Magelang
TRX-101-0018,2026-08-24,Makanan & Minuman,3,1200000,Kartu Kredit,Magelang
TRX-101-0019,2026-08-03,Elektronik,4,50000,Transfer Bank,Magelang
TRX-101-0020,2026-08-22,Makanan & Minuman,4,50000,Transfer Bank,Magelang
TRX-101-0021,2026-08-21,Makanan & Minuman,3,150000,Transfer Bank,Magelang
TRX-101-0022,2026-08-02,Elektronik,3,50000,COD,Magelang
TRX-101-0023,2026-08-24,Makanan & Minuman,3,15000,COD,Magelang
TRX-101-0024,2026-08-12,Rumah Tangga,4,1200000,Transfer Bank,Magelang
TRX-101-0025,2026-08-30,Fashion,7,500000,Kartu Kredit,Magelang
TRX-101-0026,2026-08-06,Fashion,4,50000,COD,Magelang
TRX-101-0027,2026-08-02,Elektronik,9,15000,Transfer Bank,Magelang
TRX-101-0028,2026-08-28,Kesehatan & Kecantikan,1,500000,Transfer Bank,Magelang
TRX-101-0029,2026-08-21,Elektronik,8,1200000,Kartu Kredit,Magelang
TRX-101-0030,2026-08-01,Kesehatan & Kecantikan,7,500000,E-Wallet,Magelang
TRX-101-0031,2026-08-12,Fashion,2,15000,COD,Magelang
