id_transaksi,tanggal,kategori,unit_terjual,harga_satuan,metode_pembayaran,kota
TRX-202-0001,2026-08-20,Elektronik,2,50000,Transfer Bank,Yogyakarta
TRX-202-0002,2026-08-19,Rumah Tangga,1,15000,Transfer Bank,Yogyakarta
TRX-202-0003,2026-08-26,Fashion,6,500000,COD,Yogyakarta
TRX-202-0004,2026-08-15,Kesehatan & Kecantikan,5,150000,COD,Yogyakarta
TRX-202-0005,2026-08-16,Rumah Tangga,9,50000,E-Wallet,Yogyakarta
TRX-202-0006,2026-08-21,Rumah Tangga,1,15000,E-Wallet,Yogyakarta
TRX-202-0007,2026-08-05,Rumah Tangga,7,1200000,Transfer Bank,Yogyakarta
TRX-202-0008,2026-08-03,Rumah Tangga,5,500000,Kartu Kredit,Yogyakarta
TRX-202-0009,2026-08-12,Rumah Tangga,5,50000,Kartu Kredit,Yogyakarta
TRX-202-0010,2026-08-25,Makanan & Minuman,2,50000,COD,Yogyakarta
TRX-202-0011,2026-08-20,Kesehatan & Kecantikan,3,150000,COD,Yogyakarta
TRX-202-0012,2026-08-27,Rumah Tangga,7,150000,COD,Yogyakarta
TRX-202-0013,2026-08-21,Kesehatan & Kecantikan,6,1200000,E-Wallet,Yogyakarta
TRX-202-0014,2026-08-04,Makanan & Minuman,2,1200000,E-Wallet,Yogyakarta
TRX-202-0015,2026-08-21,Makanan & Minuman,6,15000,COD,Yogyakarta
TRX-202-0016,2026-08-23,Kesehatan & Kecantikan,2,15000,COD,Yogyakarta
TRX-202-0017,2026-08-16,Elektronik,2,1200000,COD,Yogyakarta
TRX-202-0018,2026-08-25,Fashion,2,1200000,Kartu Kredit,Yogyakarta
TRX-202-0019,2026-08-07,Elektronik,3,500000,E-Wallet,Yogyakarta
TRX-202-0020,2026-08-13,Elektronik,2,150000,Kartu Kredit,Yogyakarta
TRX-202-0021,2026-08-21,Elektronik,4,15000,Kartu Kredit,Yogyakarta
TRX-202-0022,2026-08-10,Rumah Tangga,9,150000,COD,Yogyakarta
TRX-202-0023,2026-08-26,Makanan & Minuman,6,150000,COD,Yogyakarta
TRX-202-0024,2026-08-07,Elektronik,1,1200000,Transfer Bank,Yogyakarta
TRX-202-0025,2026-08-14,Makanan & Minuman,8,500000,Transfer Bank,Yogyakarta
TRX-202-0026,2026-08-31,Kesehatan & Kecantikan,7,50000,Kartu Kredit,Yogyakarta
TRX-202-0027,2026-08-26,Fashion,3,500000,E-Wallet,Yogyakarta
TRX-202-0028,2026-08-05,Kesehatan & Kecantikan,1,500000,COD,Yogyakarta
TRX-202-0029,2026-08-03,Kesehatan & Kecantikan,5,150000,COD,Yogyakarta
TRX-202-0030,2026-08-23,Rumah Tangga,4,500000,Kartu Kredit,Yogyakarta
TRX-202-0031,2026-08-29,Fashion,8,15000,Transfer Bank,Yogyakarta
TRX-202-0032,2026-08-11,Kesehatan & Kecantikan,1,150000,E-Wallet,Yogyakarta
